stationname,parameter,date,hour,conc
Cid.Universitária-USP-Ipen,O3,2019-01-06,6,19
Cid.Universitária-USP-Ipen,O3,2019-01-06,7,8
Cid.Universitária-USP-Ipen,O3,2019-01-06,8,14
Cid.Universitária-USP-Ipen,O3,2019-01-06,9,31
Cid.Universitária-USP-Ipen,O3,2019-01-06,10,45
Cid.Universitária-USP-Ipen,O3,2019-01-06,11,56
Cid.Universitária-USP-Ipen,O3,2019-01-06,12,65
Cid.Universitária-USP-Ipen,O3,2019-01-06,13,67
Cid.Universitária-USP-Ipen,O3,2019-01-06,14,64
Cid.Universitária-USP-Ipen,O3,2019-01-06,15,59
Cid.Universitária-USP-Ipen,O3,2019-01-06,16,67
Cid.Universitária-USP-Ipen,O3,2019-01-06,17,72
Cid.Universitária-USP-Ipen,O3,2019-01-06,18,69
Cid.Universitária-USP-Ipen,O3,2019-01-06,19,71
Cid.Universitária-USP-Ipen,O3,2019-01-06,20,75
Cid.Universitária-USP-Ipen,O3,2019-01-06,21,60
Cid.Universitária-USP-Ipen,O3,2019-01-06,22,36
Cid.Universitária-USP-Ipen,O3,2019-01-06,23,33
Cid.Universitária-USP-Ipen,O3,2019-01-06,24,5
Cid.Universitária-USP-Ipen,O3,2019-01-07,1,2
Cid.Universitária-USP-Ipen,O3,2019-01-07,2,3
Cid.Universitária-USP-Ipen,O3,2019-01-07,3,2
Cid.Universitária-USP-Ipen,O3,2019-01-07,4,1
Cid.Universitária-USP-Ipen,O3,2019-01-07,5,1
Cid.Universitária-USP-Ipen,O3,2019-01-07,6,1
Cid.Universitária-USP-Ipen,O3,2019-01-07,7,2
Cid.Universitária-USP-Ipen,O3,2019-01-07,8,3
Cid.Universitária-USP-Ipen,O3,2019-01-07,9,10
Cid.Universitária-USP-Ipen,O3,2019-01-07,10,31
Cid.Universitária-USP-Ipen,O3,2019-01-07,11,
Cid.Universitária-USP-Ipen,O3,2019-01-07,12,
Cid.Universitária-USP-Ipen,O3,2019-01-07,13,71
Cid.Universitária-USP-Ipen,O3,2019-01-07,14,79
Cid.Universitária-USP-Ipen,O3,2019-01-07,15,95
Cid.Universitária-USP-Ipen,O3,2019-01-07,16,96
Cid.Universitária-USP-Ipen,O3,2019-01-07,17,94
Cid.Universitária-USP-Ipen,O3,2019-01-07,18,88
Cid.Universitária-USP-Ipen,O3,2019-01-07,19,87
Cid.Universitária-USP-Ipen,O3,2019-01-07,20,86
Cid.Universitária-USP-Ipen,O3,2019-01-07,21,70
Cid.Universitária-USP-Ipen,O3,2019-01-07,22,51
Cid.Universitária-USP-Ipen,O3,2019-01-07,23,17
Cid.Universitária-USP-Ipen,O3,2019-01-07,24,36
Cid.Universitária-USP-Ipen,O3,2019-01-08,1,29
Cid.Universitária-USP-Ipen,O3,2019-01-08,2,27
Cid.Universitária-USP-Ipen,O3,2019-01-08,3,10
Cid.Universitária-USP-Ipen,O3,2019-01-08,4,19
Cid.Universitária-USP-Ipen,O3,2019-01-08,5,26
Cid.Universitária-USP-Ipen,O3,2019-01-08,6,18
Cid.Universitária-USP-Ipen,O3,2019-01-08,7,4
Cid.Universitária-USP-Ipen,O3,2019-01-08,8,7
Cid.Universitária-USP-Ipen,O3,2019-01-08,9,21
Cid.Universitária-USP-Ipen,O3,2019-01-08,10,41
Cid.Universitária-USP-Ipen,O3,2019-01-08,11,68
Cid.Universitária-USP-Ipen,O3,2019-01-08,12,84
Cid.Universitária-USP-Ipen,O3,2019-01-08,13,96
Cid.Universitária-USP-Ipen,O3,2019-01-08,14,99
Cid.Universitária-USP-Ipen,O3,2019-01-08,15,103
Cid.Universitária-USP-Ipen,O3,2019-01-08,16,100
Cid.Universitária-USP-Ipen,O3,2019-01-08,17,101
Cid.Universitária-USP-Ipen,O3,2019-01-08,18,73
Cid.Universitária-USP-Ipen,O3,2019-01-08,19,50
Cid.Universitária-USP-Ipen,O3,2019-01-08,20,37
Cid.Universitária-USP-Ipen,O3,2019-01-08,21,51
Cid.Universitária-USP-Ipen,O3,2019-01-08,22,50
Cid.Universitária-USP-Ipen,O3,2019-01-08,23,20
Cid.Universitária-USP-Ipen,O3,2019-01-08,24,8
Cid.Universitária-USP-Ipen,O3,2019-01-09,1,16
Cid.Universitária-USP-Ipen,O3,2019-01-09,2,50
Cid.Universitária-USP-Ipen,O3,2019-01-09,3,49
Cid.Universitária-USP-Ipen,O3,2019-01-09,4,40
Cid.Universitária-USP-Ipen,O3,2019-01-09,5,49
Cid.Universitária-USP-Ipen,O3,2019-01-09,6,39
Cid.Universitária-USP-Ipen,O3,2019-01-09,7,38
Cid.Universitária-USP-Ipen,O3,2019-01-09,8,47
Cid.Universitária-USP-Ipen,O3,2019-01-09,9,57
Cid.Universitária-USP-Ipen,O3,2019-01-09,10,62
Cid.Universitária-USP-Ipen,O3,2019-01-09,11,80
